Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
20,2.0267e+223,3.705e+222,3.1493e+222,2.6299e+219,5.2598e+218,2.4667e+222,4.1111e+220,8.2163,1.502,1.2767,0.0010662,0.00021323
21,4.4679e+224,2.4432e+223,2.0767e+223,3.2878e+220,6.5755e+219,1.2333e+223,1.0278e+221,36.226,1.981,1.6839,0.0026658,0.00053315
22,6.0015e+224,1.8329e+224,1.558e+224,2.5879e+221,5.1758e+220,7.1533e+223,2.3844e+221,8.3898,2.5623,2.1779,0.0036178,0.00072355
23,5.4309e+223,1.1225e+223,9.5412e+222,1.3129e+220,2.6258e+219,4.9333e+222,4.1111e+220,11.009,2.2753,1.934,0.0026613,0.00053225
24,2.4507e+224,4.2672e+223,3.6271e+223,5.8011e+220,1.1602e+220,1.6033e+223,5.3444e+220,15.285,2.6615,2.2623,0.0036181,0.00072363
25,4.9641e+225,3.9375e+224,3.3469e+224,5.5692e+221,1.1138e+221,1.4435e+224,3.0073e+221,34.39,2.7278,2.3186,0.0038582,0.00077163
26,2.926e+224,1.1871e+224,1.009e+224,1.6668e+221,3.3336e+220,4.3216e+223,9.0033e+220,6.7706,2.7469,2.3349,0.0038569,0.00077138
27,1.1533e+224,3.4669e+223,2.9469e+223,4.6023e+220,9.2045e+219,1.2358e+223,3.4328e+220,9.3322,2.8054,2.3846,0.0037241,0.00074482
28,1.2864e+224,1.1579e+223,9.8422e+222,1.3141e+220,2.6281e+219,4.9333e+222,4.1111e+220,26.076,2.3471,1.995,0.0026637,0.00053273
29,1.1165e+225,1.206e+224,1.0251e+224,1.696e+221,3.3919e+220,4.6867e+223,1.5622e+221,23.823,2.5733,2.1873,0.0036187,0.00072374
30,2.8528e+225,3.2522e+224,2.7643e+224,4.5887e+221,9.1774e+220,1.1225e+224,9.8461e+220,25.416,2.8974,2.4628,0.0040881,0.00081761
31,2.5632e+223,3.7906e+222,3.222e+222,2.6312e+219,5.2625e+218,2.4667e+222,4.1111e+220,10.391,1.5367,1.3062,0.0010667,0.00021334
32,3.1661e+224,8.7996e+223,7.4797e+223,1.2213e+221,2.4426e+220,3.0796e+223,4.6661e+220,10.281,2.8574,2.4288,0.0039657,0.00079315
33,7.817e+223,3.7278e+223,3.1686e+223,4.8552e+220,9.7104e+219,1.2333e+223,2.0556e+220,6.3381,3.0225,2.5692,0.0039367,0.00078733
34,3.1356e+223,4.7765e+222,4.0601e+222,5.2576e+219,1.0515e+219,4.9333e+222,8.2222e+220,6.3559,0.96822,0.82299,0.0010657,0.00021315
35,4.309e+225,5.3432e+224,4.5417e+224,7.5568e+221,1.5114e+221,1.8628e+224,1.9404e+221,23.132,2.8683,2.4381,0.0040566,0.00081132
36,1.014e+226,9.4033e+224,7.9928e+224,1.3309e+222,2.6617e+221,3.2427e+224,2.5736e+221,31.271,2.8998,2.4649,0.0041042,0.00082084
37,2.7148e+224,4.0082e+223,3.4069e+223,5.5175e+220,1.1035e+220,1.7279e+223,9.5994e+220,15.712,2.3197,1.9717,0.0031932,0.00063863
38,6.3743e+223,8.5788e+222,7.292e+222,6.5702e+219,1.314e+219,2.4667e+222,2.0556e+220,25.842,3.4779,2.9562,0.0026636,0.00053272
39,2.0133e+224,1.7715e+223,1.5058e+223,2.2992e+220,4.5984e+219,8.6333e+222,7.1944e+220,23.32,2.052,1.7442,0.0026632,0.00053263
40,1.0148e+224,3.0886e+223,2.6253e+223,4.266e+220,8.5319e+219,1.6033e+223,1.3361e+221,6.3293,1.9264,1.6374,0.0026607,0.00053214
41,8.8973e+224,2.0107e+224,1.7091e+224,2.8306e+221,5.6613e+220,7.0275e+223,8.3661e+220,12.661,2.8612,2.432,0.0040279,0.00080558
42,2.4722e+225,6.6671e+224,5.6671e+224,9.4335e+221,1.8867e+221,2.3189e+224,2.2734e+221,10.661,2.8751,2.4438,0.0040681,0.00081362
43,5.4232e+223,1.849e+223,1.5717e+223,2.3624e+220,4.7248e+219,7.4e+222,4.1111e+220,7.3286,2.4987,2.1239,0.0031924,0.00063848
